# ----------------------------------------
# 流量開發: 工作階段主要管道群組 (預設管道群組)
# 帳戶：遠雄房地產
# 資源：遠雄房地產GA4
# ----------------------------------------
# 
# 所有使用者
# 開始日期：20260701
# 結束日期：20260731
工作階段主要管道群組 (預設管道群組),工作階段,互動工作階段,參與度,平均單次工作階段參與時間,每個工作階段的事件數,事件計數,重要活動,工作階段重要事件發生率,總收益
Unassigned,187100,86103,0.46019775521111705,15.796974879743452,5.193837520042758,971767,12,0.000037413148049171564,0
Paid Search,29148,19150,0.6569919033895979,27.689927267737065,8.656991903389597,252334,10,0.0002744613695622341,0
Direct,28047,12440,0.4435411987021785,19.534460013548685,7.550754091346668,211776,2,0.00007130887438941777,0
Organic Social,16955,9644,0.5687997640813919,10.502270716602773,7.725154821586552,130980,4,0.00023591860808021232,0
Organic Search,14589,11862,0.8130783466995681,61.44814586332168,12.51566248543423,182591,7,0.00047981355816025775,0
Referral,948,630,0.6645569620253164,63.083333333333336,11.891350210970463,11273,2,0.002109704641350211,0
Cross-network,560,390,0.6964285714285714,31.748214285714287,10.17142857142857,5696,0,0,0
Paid Social,494,431,0.8724696356275303,27.467611336032387,11.275303643724696,5570,0,0,0
Organic Video,284,259,0.9119718309859155,85.74295774647888,12.264084507042254,3483,0,0,0
AI Assistant,126,93,0.7380952380952381,57.29365079365079,10.674603174603174,1345,0,0,0
SMS,108,60,0.5555555555555556,28.787037037037038,10.324074074074074,1115,0,0,0
Paid Other,16,5,0.3125,1.0625,6.125,98,0,0,0
