廣告事件名稱,廣告活動名稱,廣告版位,圖片名稱,曝光,點擊,點閱率
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_20260108_內文_EH1,122,0,0
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_20260108_內文_EH2,124,0,0
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_LINE_PROMO,118,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_20260108_內文_EH1,53,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_20260108_內文_EH2,56,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_LINE_PROMO,52,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第二段_20260108_內文_EH5,56,1,0.017857142857142856
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_20260108_內文_EH1,16,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH1,226,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_20260108_內文_EH2,17,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH2,257,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH5,28,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_LINE_PROMO,15,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_LINE_PROMO,247,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第二段_20260108_內文_EH1,28,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第二段_20260108_內文_EH5,17,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第二段_20260108_內文_EH5,229,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_20260108_內文_EH1,243,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_20260108_內文_EH2,250,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_LINE_PROMO,229,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第二段_20260108_內文_EH5,250,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第一段_20260108_內文_EH1,84,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄新灣,BN_article,第一段_20260108_內文_EH1,40,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第一段_20260108_內文_EH2,8,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第一段_20260108_內文_EH2,86,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄新灣,BN_article,第一段_20260108_內文_EH2,41,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第一段_20260108_內文_EH5,8,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第一段_LINE_PROMO,8,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第一段_LINE_PROMO,81,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄新灣,BN_article,第一段_LINE_PROMO,37,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第二段_20260108_內文_EH1,8,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第二段_20260108_內文_EH5,85,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第一段_20260108_內文_H707,82,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第一段_20260108_內文_H713,82,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第一段_LINE_PROMO,79,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第二段_20260108_內文_DH2,82,0,0
