Unnamed: 0,官網連結(怡凌),官網連結,標題,上刊時間,生活提案,大分類,中分類,標籤1,標籤2,標籤3,標籤4,標籤5,標籤6,標籤7,標籤8,標籤9,標籤10,標籤11,關鍵字
/life-proposal/,house-layout/,/life-proposal/house-layout/,房屋格局圖/平面圖怎麼看？建案平面圖符號教學，讓你秒懂房屋格局避地雷,2021-08-06,購屋知識,不動產交易,驗交屋,首購,自住,平面圖,傢配圖,,,,,,,,格局圖、平面圖、房屋平面圖、平面圖符號、房子平面圖
/life-proposal/,zhonghe-river/,/life-proposal/zhonghe-river/,中和河岸景觀住宅，享受視野無價,2021-08-06,空間美學,區域環境,區域發展,新北市,重劃區,交通機能,公園綠地,水岸宅,,,,,,,中和遠雄左岸、遠雄左岸、中和左岸、遠雄河岸、中和左岸建案
/life-proposal/,luxury-house-design/,/life-proposal/luxury-house-design/,豪宅設計彰顯主人榮耀！從豪宅玄關、客餐廳、臥房設計，一窺主人身份地位與個性品味,2021-08-16,空間美學,居住與維護,裝潢設計,自住,,,,,,,,,,,豪宅玄關設計、豪宅玄關、豪宅主臥室設計、豪宅客廳、豪宅餐廳設計
/life-proposal/,tsuta-house/,/life-proposal/tsuta-house/,台灣蔦屋的空間價值革命，在遠雄實踐地方創生價值,2021-08-17,空間美學,居住與維護,裝潢設計,無標籤,,,,,,,,,,,橋本龍之介、台灣蔦屋、蔦屋建案、風格是一種商機、蔦屋
/life-proposal/,home-inspection/,/life-proposal/home-inspection/,驗屋與交屋必知注意事項？新手購屋必看，驗屋清單檢查表與交屋流程有哪些？,2021-08-20,購屋知識,不動產交易,驗交屋,驗屋流程,機電排水,浴廁設施,廚房設備,檢查表,,,,,,,驗屋、交屋注意事項、驗屋清單、驗屋注意事項、交屋
/life-proposal/,taichung-gateway/,/life-proposal/taichung-gateway/,台中新建案區位分析：水湳經貿園區值得關注，台中七期豪宅仍當道   (無專家),2021-09-05,在地生活,區域環境,區域發展,台中市,西屯區,南屯區,七期,水湳經貿園區,,,,,,,水湳建案、水湳經貿園區建案、水湳預售屋、水湳經貿園區預售屋、水湳新建案
/life-proposal/,mortgage/,/life-proposal/mortgage/,買房頭期款不夠怎麼辦？,2022-01-14,購屋知識,建築與品牌,建築規劃,成屋,不動產,購屋重點,住宅,重劃區,預售屋,,,,,,買房頭期款、頭期款、房子頭期款、買房子頭期款、2021買房子沒有頭期款
/life-proposal/,2021-10/,/life-proposal/2021-10/,2021十大建商出爐！購屋前必知的建商評價,2022-01-14,專家觀點,市場與政策,房市趨勢,政策,建商,建商評價,打房,,,,,,,,建商評價、十大優良建商、台中建商排名2021、豐邑建設評價2021、豐邑建設評價
/life-proposal/,ratio_of_public_area/,/life-proposal/ratio_of_public_area/,秒懂公設定義與公設比計算,2022-01-14,購屋知識,建築與品牌,建築規劃,停車位,買屋流程,公設比,附屬建物,,,,,,,,公設比法規、公設比法規2022、公設比、公設公設比法規2021
/life-proposal/,goodluck/,/life-proposal/goodluck/,首購族看房買屋攻略：新屋居家風水擺設、格局禁忌一次看,2022-01-14,購屋知識,居住與維護,裝潢設計,無標籤,,,,,,,,,,,
/life-proposal/,h101b/,/life-proposal/h101b/,【遠雄豐河】我家門前有小河，快樂入住新北中和,2022-01-27,在地生活,區域環境,區域發展,無標籤,,,,,,,,,,,
/life-proposal/,earthquake/,/life-proposal/earthquake/,地震來的時候你家安全嗎? 一次搞懂抗震建築,2022-02-08,安心生活,建築與品牌,結構與施工,鋼筋工程,施工品質,建築工法,建築工程,結構工法,制震,基礎結構,,,,,
/life-proposal/,qingpu/,/life-proposal/qingpu/,建案熱區巡禮：桃園青埔大翻身！視野廣闊心也寬裕的首選住所,2022-02-10,在地生活,區域環境,區域發展,桃園市,重劃區,生活機能,交通機能,公園綠地,基地規劃,,,,,,青埔生活機能、青埔生活、遠雄青埔、青埔蛋黃區、青埔心建案2022
/life-proposal/,floor_height/,/life-proposal/floor_height/,樓高的隱藏秘密：樓層高度怎麼看？,2022-02-11,購屋知識,區域環境,基地條件,住宅,大樓,樓高,樓層高,,,,,,,,樓高、樓層高度、樓板高度、樓地板高度、一層樓高度
/life-proposal/,high_floor/,/life-proposal/high_floor/,樓層怎麼選？–「首購族看房買屋攻略」,2022-02-11,購屋知識,區域環境,基地條件,首購,買屋流程,,,,,,,,,,預售屋樓層選擇、樓層選擇、買房樓層、大樓樓層選擇、大樓4樓優缺點
/life-proposal/,true_price/,/life-proposal/true_price/,秒懂實價登錄–「首購族看房買屋攻略」,2022-02-11,購屋知識,市場與政策,政策法規,買屋流程,,,,,,,,,,,
/life-proposal/,taxes/,/life-proposal/taxes/,買房時到底有那些稅金要繳？–「首購族看房買屋攻略」,2022-02-18,購屋知識,稅務與繼承,稅務,首購,稅賦,買屋流程,,,,,,,,,新成屋房屋稅、買房稅金、新成屋契稅多少、買房房屋稅、買房稅金
/life-proposal/,xinzhuang/,/life-proposal/xinzhuang/,好想搬去新北住！新莊副都心生活圈，一步抵達頂級人生,2022-02-18,在地生活,區域環境,區域發展,交通機能,明星學區,就業機會,公園綠地,基地規劃,住宅,實品屋,景觀視野,遠雄九五,新北市,生活機能,新莊副都心、副都心、新莊副都心未來發展、新莊發展、新莊副都心重劃區
/life-proposal/,house_tax/,/life-proposal/house_tax/,囤房稅不可不知！多屋族看過來,2022-02-18,購屋知識,稅務與繼承,稅務,投資政策,稅賦,打房,囤房稅,,,,,,,,
/life-proposal/,shuinan/,/life-proposal/shuinan/,建案熱區巡禮：台中水湳經貿區，新世代亮點發展區,2022-02-18,在地生活,區域環境,區域發展,台中市,西屯區,水湳經貿園區,生活機能,交通機能,公園綠地,遠雄純寓,住宅,,,,水湳經貿園區、水湳、水湳經貿、台中水湳、台中經貿園區
/life-proposal/,soundproofing/,/life-proposal/soundproofing/,住宅隔音規劃有哪些？許我一個清淨空間,2022-02-18,購屋知識,居住與維護,裝潢設計,隔音,,,,,,,,,,,
/life-proposal/,fsc-thirdhouse-100/,/life-proposal/fsc-thirdhouse-100/,打房再出招！金管會第三戶房貸風險權數變100%,2022-02-23,購屋知識,市場與政策,政策法規,投資,房貸,置產,政策,房地產市場,,,,,,,
/life-proposal/,build_rate/,/life-proposal/build_rate/,蓋好蓋滿還是適度留白？一次搞懂建蔽率與容積率,2022-02-25,購屋知識,區域環境,基地條件,容積率,基地規劃,建蔽率,,,,,,,,,建蔽率、住三可以蓋幾樓、建蔽率越高越好嗎、商四特容積率、商二特容積率
/life-proposal/,change_house/,/life-proposal/change_house/,換屋族必看：換屋是要先買後賣還是先賣後買？,2022-02-25,購屋知識,不動產交易,簽約,換屋,自住,土地增值稅,重購退稅,,,,,,,,
/life-proposal/,dehumidifier/,/life-proposal/dehumidifier/,降低室內濕度怎麼做？除濕機真的有用嗎？,2022-02-25,安心生活,居住與維護,修繕保養,自住,住宅,除溼,防潮,,,,,,,,如何降低室內溼度、降低濕度、如何降低濕度、室內溼度、降低房間濕度
/life-proposal/,greenbuilding2020-design/,/life-proposal/greenbuilding2020-design/,「綠建築」的現在進行式，就在2022室內設計3大趨勢,2022-02-25,安心生活,建築與品牌,ESG與綠建築,高雄厝綠建築,遠雄琢蘊,住宅,綠覆率,綠建築,,,,,,,綠建築、2022室內設計趨勢、綠建築設計、高雄厝
/life-proposal/,reverse_mortgage/,/life-proposal/reverse_mortgage/,超高齡台灣，誰適合「以房養老」?,2022-02-25,購屋知識,市場與政策,政策法規,退休,房貸,,,,,,,,,,
/life-proposal/,prevention1/,/life-proposal/prevention1/,落實居家防災＋防疫！快速檢視居家安全,2022-02-25,安心生活,居住與維護,修繕保養,住宅,透天,公寓,華廈,大樓,防疫建築,,,,,,
/life-proposal/,reconstruction/,/life-proposal/reconstruction/,危老重建是甚麼？我能申請嗎？,2022-03-04,購屋知識,市場與政策,政策法規,政策,稅賦,中古屋,,,,,,,,,危老重建、危老重建心得、危老、危老重建獎勵、高雄老屋翻新補助2022
