網頁標題,到達網頁,所有使用者,% Δ,工作階段,% Δ,參與度,% Δ,點擊預約賞屋,% Δ,預約賞屋曝光,% Δ,點擊Line,% Δ,點擊客服Omi,% Δ,點擊來電0800,% Δ,點擊實價,% Δ,點擊導航,% Δ
遠雄MetaLink科技園區 | 3700坪超旗艦 森態企業總部,/buildings/hm2,37026,,45879,,0.36343425096449355,,295,,575,,182,,405,,84,,0,,19,
【聯上智科】輝達軸線核心｜北士科福國路首排，純商辦地標，符合ESG指標｜預約尊榮鑑賞 遠雄房地產 聯上智科,/buildings/5vo1,27491,,34548,,0.4465092045849253,,191,,0,,84,,116,,48,,0,,24,
台中七期．在夏綠地，典藏最優雅的【夏綠蒂】25-38坪,/buildings/bh13,21922,,25957,,0.5333050814809107,,511,,1306,,50,,152,,41,,0,,49,
【遠雄蘊合】千坪旗艦，親水生活｜收納中西區最美流動26-43坪．新案早鳥預約,/buildings/dh6,18196,,23443,,0.5231412361899075,,38,,1036,,19,,93,,13,,0,,67,
若水秧翠｜東京視野・頂埔門牌｜1~3房．20~42坪,/buildings/rsh1,13068,,16526,,0.5380612368389205,,13,,839,,11,,65,,11,,0,,9,
齊興_緻：北士科住宅預售屋，入主北投核心地段，立即預約賞屋,/buildings/ar1,13804,,15604,,0.7965265316585491,,7,,280,,8,,37,,6,,0,,33,
天母蒔麗｜15~25坪．1-2房｜北投行義路，近石牌站,/buildings/wdh2,10661,,14775,,0.485414551607445,,9,,498,,6,,40,,6,,0,,45,
遠房實價登錄,/,11552,0.863225806451613,12524,0.8291222433182416,0.6720696263174705,-0.10941344466891421,0,,0,,0,,0,,0,,69,0.6046511627906976,0,
遠房實價登錄,/buildings/ar1,11018,0.0758714969241285,12396,0.12598782814061224,0.9982252339464344,-0.001048850057604272,0,,0,,0,,0,,0,,26,,0,
遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,/buildings/eh6,9308,,10957,,0.4632654923793009,,60,,748,,36,,68,,24,,0,,65,
大河商爵-台北市士林區廠辦/預售新建案-預約賞屋，遠創力行銷,/buildings/dgm1,9319,1.5440895440895441,9706,1.3104022851701975,0.33845044302493305,-0.37059304508732016,129,-0.21818181818181817,301,-0.04746835443037975,43,-0.2711864406779661,38,-0.5913978494623656,32,-0.058823529411764705,0,,10,0.25
遠房實價登錄,/buildings/bh13,8433,,9100,,0.9998901098901098,,0,,0,,0,,0,,0,,1,,0,
遠房實價登錄,/buildings/dh6,7031,,7561,,0.9989419388969712,,0,,0,,0,,0,,0,,2,,0,
遠房實價登錄,/buildings/rsh1,5335,,5651,,0.9996460803397629,,0,,0,,0,,0,,0,,1,,0,
