來源/媒介,廣告活動,網頁標題,網頁路徑,所有使用者,工作階段,瀏覽,平均觀看次數,平均使用者參與
line-lap / dh6,1,【遠雄蘊合】千坪旗艦，親水生活｜收納中西區最美流動26-43坪．新案早鳥預約,/buildings/dh6/,16591,19537,20352,1.2266891688264723,10.25754927370261
line-lap / dh6,2,【遠雄蘊合】千坪旗艦，親水生活｜收納中西區最美流動26-43坪．新案早鳥預約,/buildings/dh6/,8876,10730,10980,1.2370437133844074,6.012392969806219
(direct) / (none),(direct),遠房實價登錄,/,7957,8031,9494,1.1931632524820912,0.22056051275606384
line-lap / 5vo1,5-1,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,5187,6594,6594,1.271255060728745,13.388471177944862
line-lap / dh6,1,遠房實價登錄,/,5990,6257,6789,1.13338898163606,0
line-lap / wdh2,line-lap4-3,天母蒔麗｜15~25坪．1-2房｜北投行義路，近石牌站,/buildings/wdh2/,4363,6219,6452,1.4787989915195967,4.982809993123997
line-lap / 5vo1,5-2,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,4498,5696,5873,1.3056914184081814,18.45709204090707
line-lap / wdh2,line-lap4-3_600x400,天母蒔麗｜15~25坪．1-2房｜北投行義路，近石牌站,/buildings/wdh2/,3904,5524,5593,1.4326331967213115,14.101946721311476
line-lap / rsh1,line-lap4-2,若水秧翠｜東京視野・頂埔門牌｜1~3房．20~42坪,/buildings/rsh1/,4111,5227,5417,1.3176842617368036,2.383848212113841
fb / 5vo1,4-5,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,2098,5041,8841,4.214013346043851,5.696377502383222
line-lap / ar1,20260528-8-7,齊興_緻：北士科住宅預售屋，入主北投核心地段，立即預約賞屋,/buildings/ar1/,3925,4798,4744,1.2086624203821656,22.68127388535032
line-lap / rsh1,line-lap4-5,若水秧翠｜東京視野・頂埔門牌｜1~3房．20~42坪,/buildings/rsh1/,3068,4520,4731,1.5420469361147326,11.999022164276402
line-lap / ar1,20260625-13-2,齊興_緻：北士科住宅預售屋，入主北投核心地段，立即預約賞屋,/buildings/ar1/,3502,4160,4156,1.1867504283266705,19.2609937178755
line-lap / ar1,20260528-8-7,遠房實價登錄,/,3273,3932,3969,1.2126489459211733,0
line-lap / 5vo1,5-3,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,3134,3928,4033,1.2868538608806637,20.811104020421187
line-lap / dh6,2,遠房實價登錄,/,3428,3568,3815,1.1128938156359394,0
line-lap / ar1,20260625-13-2,遠房實價登錄,/,2946,3399,3570,1.2118126272912424,0.0648336727766463
google / cpc,gdn,遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,/buildings/eh6/,2836,3347,3757,1.32475317348378,10.041607898448518
line / bh11,26_6-1,遠雄14期首發【遠雄丰尚】北屯新案．近漢神洲際百貨,/buildings/bh11/,2899,3343,3491,1.2042083477061056,8.231114177302517
